emsno,工廠名稱,uniformno,county,township,facilityaddress,industryareaname,industryid,industryname,TWD97X,TWD97Y,wgs84lon,wgs84lat,isair,iswater,iswaste,istoxic,issoil,airreleasedate,waterreleasedate,wastereleasedate,toxicreleasedate,soilreleasedate,industrygroup,admino,facno
B2500550,潔美洗衣店,2947452,臺中市,北屯區,臺中市北屯區瀋陽路一段一○九號,非屬工業區類,9610,洗衣業,217364.7536,2674358.13,120.6788012,24.17424672,1,0,0,0,0,,,,,,961,,
B2500747,華星樂器製造股份有限公司,52591955,臺中市,北屯區,臺中市北屯區軍功里軍功路二段五四五巷七號,非屬工業區類,2544,金屬表面處理業,221284.2543,2675807.524,120.717348,24.18741,1,1,1,1,0,,,,,,254,,
B2502072,昆林企業社,52713296,臺中市,北屯區,臺中市北屯區平德路一○三巷三三號,非屬工業區類,2209,其他塑膠製品製造業,216570.0112,2675326.743,120.6709569,24.18297586,1,0,0,0,0,,,,,,220,,
B2502241,水湳加油站股份有限公司(水湳加油站),85048040,臺中市,北屯區,臺中市北屯區陳平里中清路九○號,非屬工業區類,4821,加油及加氣站,216023.1532,2675416.582,120.6655723,24.18377532,1,1,0,0,0,,,,,,482,,
B2502250,強琳環保工程有限公司,16042271,臺中市,北屯區,臺中市北屯區軍功里建功巷二九之九號,非屬工業區類,3821,非有害廢棄物處理業,220797.0663,2675368.868,120.7125615,24.18344034,1,1,0,0,0,,,,,,382,,
B2502312,全國加油站股份有限公司全國軍功加油站,,臺中市,北屯區,臺中市北屯區軍功路二段五二六號,非屬工業區類,4821,加油及加氣站,221461.1052,2675571.371,120.7190934,24.18528097,1,1,0,0,0,,2019/7/19,,,,482,66000,
B2502321,太原加油站股份有限公司,89874603,臺中市,北屯區,臺中市北屯區太原路三段三八八號,,4821,加油及加氣站,218957.254,2673305.145,120.6944971,24.16477126,1,0,0,0,0,,,,,,482,,
B2502367,芬泉電腦洗衣坊,17993904,臺中市,北屯區,臺中市北屯區大連路三段一一四號,非屬工業區類,9610,洗衣業,218907.9742,2674391.292,120.6939888,24.17457738,1,0,0,0,0,,,,,,961,,
B2502376,全國加油站股份有限公司全國中清加油站,17180580,臺中市,北屯區,臺中市北屯區后庄里中清路二段一○一二號,非屬工業區類,4821,加油及加氣站,215663.1659,2676091.118,120.662013,24.189858,1,1,0,0,0,,,,,,482,66000,
B2502401,瀧穎仙洗衣店,,臺中市,北屯區,臺中市北屯區后庄一街三號,非屬工業區類,9610,洗衣業,215908.3187,2675702.936,120.6644352,24.18635839,1,0,0,0,0,,,,,,961,,
B2502429,東帝洗衣店,,臺中市,北屯區,臺中市北屯區安順東九街七二號,非屬工業區類,9610,洗衣業,218637.3054,2674391.462,120.6913249,24.17457354,1,0,0,0,0,,,,,,961,,
B2502456,榮祥洗衣店,,臺中市,北屯區,臺中市北屯區昌平路二段四二之四號,非屬工業區類,9610,洗衣業,217931.4673,2676224.8,120.6843373,24.19111295,1,0,0,0,0,,,,,,961,,
B2502483,新旗洗衣中心,,臺中市,北屯區,臺中市北屯區東山路一段三六七之一八號,台中工業區第一期,9610,洗衣業,222040.119,2674577.687,120.7248118,24.17631913,1,0,0,0,0,,,,,,961,,
B2502492,新時代洗衣中心,77625995,臺中市,北屯區,臺中市北屯區松竹路二二五號,非屬工業區類,9610,洗衣業,219676.1907,2675390.363,120.7015286,24.18361322,1,0,0,0,0,,,,,,961,,
B2502518,麗怡乾洗名店,,臺中市,北屯區,臺中市北屯區青島路四段二九號,非屬工業區類,9610,洗衣業,218098.9168,2673712.883,120.686041,24.16843567,1,0,0,0,0,,,,,,961,,
B2502554,銘峰洗衣店,18000707,臺中市,北屯區,臺中市北屯區崇德二路二段一七二號,非屬工業區類,9610,洗衣業,218123.0064,2674712.38,120.686256,24.17746086,1,0,0,0,0,,,,,,961,,
B2502572,名弘洗衣店,99072928,臺中市,北屯區,臺中市北屯區崇德路二段一三七號,非屬工業區類,9610,洗衣業,218023.757,2674219.472,120.6852901,24.17300826,1,0,0,0,0,,,,,,961,,
B2502590,來來乾洗店,,臺中市,北屯區,臺中市北屯區綏遠路二段五九號,非屬工業區類,9610,洗衣業,217617.0688,2673948.333,120.6812936,24.17055177,1,0,0,0,0,,,,,,961,,
B2502625,嘉贊乾洗名店,77608433,臺中市,北屯區,臺中市北屯區熱河路二段一八○之一號,非屬工業區類,9610,洗衣業,218298.3314,2674208.856,120.6879927,24.17291797,1,0,0,0,0,,,,,,961,,
B2502670,新天地國際實業股份有限公司北區分公司,70757197,臺中市,北屯區,臺中市北屯區松竹里崇德五路三四五號,非屬工業區類,5611,餐館,217930.6672,2674874.893,120.6843594,24.17892432,1,1,1,0,0,,,,,,561,,
B2502723,安泰加油站有限公司,16729857,臺中市,北屯區,臺中市北屯區仁美里崇德一五路四○號,非屬工業區類,4821,加油及加氣站,218075.7281,2676237.11,120.685757,24.191227,1,1,0,0,0,,2018/4/20,,,,482,,
B2502732,鯨世界國際股份有限公司鯨世界仁美加油站,16336781,臺中市,北屯區,臺中市北屯區同榮里一鄰同樂巷二三之六號,非屬工業區類,4821,加油及加氣站,217526.0538,2677010.517,120.680329,24.198199,1,1,0,0,1,,2016/2/17,,,2017/11/16,482,,
B2502741,寶坤實業股份有限公司(西德分公司-西德加油站),23549917,臺中市,北屯區,臺中市北屯區松竹里梅川東路五段一四六號,非屬工業區類,,,217711.0177,2674900.643,120.682197,24.17915234,1,1,0,0,0,,2008/4/15,,,,482,,
B2502769,全國加油站股份有限公司全國大坑加油站,22958907,臺中市,北屯區,臺中市北屯區軍功里松竹路一段六四○號,非屬工業區類,4821,加油及加氣站,221468.3957,2675255.714,120.7191714,24.18243095,1,1,0,0,0,,2020/5/5,,,,482,66000,
B2505377,豐樂加油站,23234819,臺中市,北屯區,臺中市北屯區崇德路三段五九五號,,4821,加油及加氣站,218120.587,2676608.49,120.6861904,24.19458121,1,1,0,0,0,,,,,,482,66000,
B2505402,華興洗衣商店,52276561,臺中市,北屯區,臺中市北屯區昌平路二段三之一○號,非屬工業區類,9610,洗衣業,218543.2455,2674788.74,120.6903905,24.17815879,1,0,0,0,0,,,,,,961,,
B2505617,統一精工文心一站加油站,14589613,臺中市,北屯區,臺中市北屯區文心路四段八九一號,非屬工業區類,4821,加油及加氣站,218899.2439,2674049.543,120.6939102,24.17149147,1,0,0,0,1,,,,,2017/5/17,482,,
B2505626,信毅加油站股份有限公司,90081045,臺中市,北屯區,臺中市北屯區軍功路二段一六八號,非屬工業區類,4721,蔬果零售業,221537.757,2674912.43,120.7198609,24.17933261,1,1,0,0,0,,,,,,472,,
B2505644,福懋興業股份有限公司(福懋文心路加油站),14001199,臺中市,北屯區,臺中市北屯區文心路四段六一三號,非屬工業區類,4821,加油及加氣站,218083.1846,2674146.502,120.6858766,24.17235061,1,1,0,0,0,,2026/2/11,,,,482,66000,
B2506196,全國加油站股份有限公司(全國昌平加油站),22958907,臺中市,北屯區,臺中市北屯區崇德路二段三十六號,非屬工業區類,500,石油及天然氣礦業,218197.7292,2675283.047,120.6869789,24.18261506,1,1,0,0,0,,,,,,50,66000,
B2506712,中國石油股份有限公司(北屯加油站),,臺中市,北屯區,臺中市北屯區北屯路四三六號,非屬工業區類,4821,加油及加氣站,218934.9576,2674389.1,120.6942544,24.17455812,1,1,0,0,0,,2008/11/17,,,,482,,
B25A0150,統一精工股份有限公司統一精工仁美加油站,83679116,臺中市,北屯區,臺中市北屯區崇德路三段一○○○號,非屬工業區類,4821,加油及加氣站,218193.8363,2677783.244,120.6868855,24.20518979,1,1,0,0,0,,2008/2/19,,,,482,,
B25A0625,統一精工股份有限公司(統一精工文心二站加油站),86379116,臺中市,北屯區,臺中市北屯區文心路四段九三○號,非屬工業區類,4821,加油及加氣站,218911.6844,2673977.463,120.6940342,24.17084089,1,1,0,0,1,,2004/12/6,,,2012/6/29,482,,
B25A1633,佑龍股份有限公司,52720944,臺中市,北屯區,臺中市北屯區軍功路二段四六一巷三六號一樓,非屬工業區類,2209,其他塑膠製品製造業,221306.8559,2675698.423,120.7175726,24.18642534,1,0,0,0,0,,,,,,220,,
B25A3421,統一精工北屯加油站,86379116,臺中市,北屯區,臺中市北屯區北屯路二一一號,非屬工業區類,,,218876.9261,2673282.641,120.6937071,24.16456648,1,1,0,0,1,,2008/3/7,,,2014/5/23,482,,
B25A3946,南北通加油站股份有限公司仁美加油站,45619892,臺中市,北屯區,臺中市北屯區仁美里環中路一段七九號,,,,218920.0731,2677281.981,120.6940456,24.2006783,1,0,0,0,0,,,,,,482,,
B25B1274,進昌食品有限公司,53475292,臺中市,北屯區,臺中市北屯區北興里天祥街二三五之一二號,,,,219801.3618,2672760.366,120.7028156,24.15986872,1,0,0,0,0,,,,,,85,,
B25B1501,東虹實業股份有限公司東虹崇德加油站,39928153,臺中市,北屯區,臺中市北屯區平德里崇德路二段一九、一九之一號,非屬工業區類,4821,加油及加氣站,217984.5171,2673777.044,120.6849137,24.16901268,1,1,0,0,0,,,,,,482,,
B25B2024,臺中市政府環境保護局-寶之林廢棄家具再生中心,52016209,臺中市,北屯區,臺中市北屯區環中東路二段三三三號,非屬工業區類,,,221685.4714,2674236.047,120.721328,24.173228,1,0,0,0,0,,,,,,0,,
B25B2688,山隆通運股份有限公司山隆北屯加油站,38921765,臺中市,北屯區,臺中市北屯區北屯路二一一號,非屬工業區類,4631,液體、氣體燃料及相關產品批發業,218876.9261,2673282.641,120.6937071,24.16456648,1,1,0,0,0,,2022/4/18,,,,463,,
B25B4852,和明鋁業企業社,77620582,臺中市,北屯區,臺中市北屯區軍功里軍功路二段二八一號,非屬工業區類,2422,鋁鑄造業,221446.6463,2675272.933,120.718957,24.182586,1,0,0,0,0,,,,,,242,,
B25B7618,好勝地汽車旅館,,臺中市,北屯區,臺中市北屯區昌平東三路五九號,,,,218380.2414,2676073.182,120.688758,24.189753,1,0,0,0,0,,,,,,0,,
B25C3811,元翔塑膠股分有限公司,,臺中市,北屯區,臺中市北屯區景南巷一一之八號,,,,220916.3347,2673203.629,120.713779,24.163892,1,0,0,0,0,,,,,,0,,
B25C5491,葉合佑實業有限公司北屯廠,,臺中市,北屯區,臺中市北屯區景中巷一一之一一號,,,,221464.1995,2673641.646,120.719162,24.167857,1,0,0,0,0,,,,,,0,,
B25D1080,億昌特殊網版印刷廠,97562435,臺中市,北屯區,臺中市北屯區北坑巷四○號,,,,222287.3407,2674733.905,120.727242,24.177734,1,0,0,0,0,,,,,,0,,
B25D1307,啟記印刷有限公司,,臺中市,北屯區,臺中市北屯區軍福十七路三號,,,,221597.3324,2674467.028,120.720456,24.175312,1,0,0,0,0,,,,,,0,,
B25D4589,偉盛事業有限公司,85026115,臺中市,北屯區,臺中市北屯區軍功里建功巷二九之六號,,,,221015.0588,2675324.753,120.714708,24.183046,1,0,0,0,0,,,,,,0,66000,
B25D4599,利緯塑膠企業有限公司,53391272,臺中市,北屯區,臺中市北屯區軍功路二段四二七巷二二之六號,,,,221350.8646,2675588.102,120.718008,24.18543,1,0,0,0,0,,,,,,0,66000,
B25D4777,真勤實業有限公司,89519718,臺中市,北屯區,臺中市北屯區軍功路二段六二二號,,,,221428.6343,2675763.708,120.71877,24.187017,1,0,0,0,0,,,,,,0,66000,
B25D4787,佑龍股份有限公司二廠,52720944,臺中市,北屯區,臺中市北屯區軍功路二段四六一巷二五之一號,,,,221329.9885,2675614.282,120.717802,24.185666,1,0,0,0,0,,,,,,0,66000,
B25D5250,崇安紙器有限公司二廠,,臺中市,北屯區,臺中市北屯區遼寧路一段五三六巷一三號,,,,219186.221,2675107.763,120.696712,24.181052,1,0,0,0,0,,,,,,0,,
B25D6169,紅橋貿易有限公司,22283474,臺中市,北屯區,臺中市北屯區?子里太順二街八號,非屬工業區類,1159,其他紡織品製造業,222191.3138,2672753.203,120.726335,24.159848,1,0,1,0,0,,,,,,115,66000,
B25D7840,立楷興業有限公司,90598768,臺中市,北屯區,臺中市北屯區豐樂路六一之五號,,,,219092.1169,2677151.885,120.695742,24.199507,1,0,0,0,0,,,,,,0,66000,
B25D7850,靚彩數位彩繪有限公司,54891970,臺中市,北屯區,臺中市北屯區環中東路一段一五八○之七號,,,,221669.4369,2675367.069,120.721148,24.18344,1,0,0,0,0,,,,,,0,66000,
B8600317,大金塑膠股份有限公司,55652130,臺中市,豐原區,臺中市豐原區合作街九七巷二五號,,,,220196.8906,2681532.368,120.7065267,24.23908062,1,0,0,1,0,,,,2021/2/20,,0,,
B8600406,水源路加油站股份有限公司-圓環東路加油站,53293841,臺中市,豐原區,臺中市豐原區圓環東路八五○號,非屬工業區類,4821,加油及加氣站,222601.5074,2683050.732,120.730176,24.25283402,1,0,0,0,0,,,,,,482,,
B8600540,沅渼生物科技股份有限公司,55861235,臺中市,豐原區,臺中市豐原區三村里三和路三九八之一號,非屬工業區類,1830,肥料及氮化合物製造業,219869.867,2680648.861,120.703325,24.231097,1,0,1,1,0,,,,,,183,,
B8600988,全國加油站股份有限公司全國豐勢加油站,39688674,臺中市,豐原區,臺中市豐原區翁子里豐勢路一段五二六號,非屬工業區類,4821,加油及加氣站,222929.9859,2683734.548,120.733398,24.25901402,1,1,0,0,0,,2018/7/3,,,,482,66000,
B8601207,順勢加油站有限公司,53977746,臺中市,豐原區,臺中市豐原區翁子里豐勢路二段五六二號,非屬工業區類,4821,加油及加氣站,223247.3142,2683923.541,120.7365197,24.26072592,1,0,0,0,0,,,,,,482,,
B8601350,豐億企業有限公司,54121889,臺中市,豐原區,臺中市豐原區西勢路五一二之一號,非屬工業區類,500,石油及天然氣礦業,221686.1313,2685829.214,120.7211066,24.27790512,1,0,0,0,0,,,,,,50,,
B8601958,東廈企業股份有限公司,23006821,臺中市,豐原區,臺中市豐原區三和路三五四巷九七弄五四之五號,非屬工業區類,,,219463.3308,2680323.567,120.699329,24.228152,1,0,0,0,0,,,,,,0,,
B8602295,俱富股份有限公司,80599009,臺中市,豐原區,臺中市豐原區鐮村里鎌村路一○七巷六二號,,,,222159.0772,2680721.042,120.725864,24.23179102,1,0,0,0,0,,,,,,0,,
B8603676,益原企業行,17776857,臺中市,豐原區,臺中市豐原區北陽里北陽路四一六號,,,,223627.9241,2682952.874,120.740286,24.251968,1,0,0,0,0,,,,,,0,,
B8603685,勝裕砂布有限公司,86642094,臺中市,豐原區,臺中市豐原區南嵩里北陽路四三九號,,,,223712.9337,2682907.64,120.741124,24.251561,1,0,0,0,0,,,,,,0,,
B8603710,佶興科技股份有限公司,22120964,臺中市,豐原區,臺中市豐原區南嵩里北陽路三三九巷二○號,,,,223423.7596,2683028.124,120.738274,24.252644,1,0,0,0,0,,,,,,0,,
B8603881,仟百合工業社,90953350,臺中市,豐原區,臺中市豐原區南田里水源路一九二巷五七之一九號,,,,223631.4345,2683529.331,120.74031,24.257173,1,0,0,0,0,,,,,,0,,
B8603890,利達塑膠廠,8317179,臺中市,豐原區,臺中市豐原區南田里水源路一九二巷五七之一二號,,,,223707.7278,2683604.058,120.74106,24.257849,1,0,0,0,0,,,,,,0,,
B8603934,鴻鎰企業社,97870685,臺中市,豐原區,臺中市豐原區豐勢路二段五三五巷四一弄二八號,非屬工業區類,2544,金屬表面處理業,224117.2912,2684801.53,120.745072,24.268668,1,0,1,0,0,,,,,,254,,
B8603998,光軒科技塑膠股份有限公司一廠,,臺中市,豐原區,臺中市豐原區富陽路三五八號,,,,224060.2133,2683628.105,120.744531,24.258072,1,0,0,0,0,,,,,,0,,
B8604262,柜倫企業有限公司,89548657,臺中市,豐原區,臺中市豐原區南嵩里水源路北坑巷九號,非屬工業區類,2599,未分類其他金屬製品製造業,224814.5053,2683435.032,120.751963,24.256341,1,1,1,0,0,,,,,,259,66000,
B8604753,顏昌興業有限公司豐原廠,23692048,臺中市,豐原區,臺中市豐原區東陽里東陽路四二○號,非屬工業區類,1920,塗料、染料及顏料製造業,224895.5594,2680124.41,120.752819,24.22645,1,0,0,1,0,,,,,,192,,
B8604959,晶傑精機有限公司,12642789,臺中市,豐原區,臺中市豐原區豐勢路一段四四一號,,,,222706.1693,2683667.974,120.731195,24.258409,1,0,0,0,0,,,,,,0,,
B8604977,淇霖有限公司,23568060,臺中市,豐原區,臺中市豐原區中正路七二六巷六號,非屬工業區類,2209,其他塑膠製品製造業,219942.8432,2682781.903,120.703999,24.250358,1,0,0,0,0,,,,,,220,,
B8605107,華盛林股份有限公司,,臺中市,豐原區,臺中市豐原區田心里中山路一八三號,,,,220740.962,2681687.552,120.711881,24.240492,1,0,0,0,0,,,,,,0,,
B8605367,眾豪生物科技國際股份有限公司,80595714,臺中市,豐原區,臺中市豐原區北湳里大順街一○○號二樓,非屬工業區類,1990,未分類其他化學製品製造業,221901.5502,2683807.656,120.723268,24.259656,1,0,1,0,0,,,,,,199,,
B8606239,大亨利國際開發股份有限公司豐原廠,,臺中市,豐原區,臺中市豐原區三豐路二段五四九巷三四九號,,,,220999.4494,2685324.235,120.714353,24.273333,1,0,0,0,0,,,,,,0,,
B8606293,佳得塑膠工廠,8314530,臺中市,豐原區,臺中市豐原區源豐路一七○巷三弄一三號,,,,221497.3315,2683354.933,120.719296,24.255561,1,0,0,0,0,,,,,,0,,
B8606300,名仁國際股份有限公司豐原廠,,臺中市,豐原區,臺中市豐原區南村里水源路六一○號,,,,222393.0094,2683295.679,120.728118,24.255042,1,0,0,0,0,,,,,,0,,
B8606364,耀振股份有限公司二廠,89851904,臺中市,豐原區,臺中市豐原區三村里三和路五七八巷二三號二樓,,2599,未分類其他金屬製品製造業,219338.837,2680145.968,120.698107,24.226546,1,0,1,0,0,,,,,,259,66000,S6600627
B8606453,京兆塑膠股份有限公司三豐廠,,臺中市,豐原區,臺中市豐原區三豐路二段二○巷二四二號,,,,222401.9354,2684645.066,120.72818,24.267226,1,0,0,0,0,,,,,,0,,
B8606640,喜王生醫有限公司,22231997,臺中市,豐原區,臺中市豐原區南村里北陽三街三六號,非屬工業區類,1932,化粧品製造業,223136.6646,2683117.931,120.735445,24.25345,1,0,1,0,0,,,,,,193,66000,66007696
B8606793,璟富企業股份有限公司,,臺中市,豐原區,臺中市豐原區豐社路二四五號,非屬工業區類,2209,其他塑膠製品製造業,219925.5276,2682948.29,120.703825,24.25186,1,0,0,0,0,,,,,,220,,
B8608108,燒魚子商行,,臺中市,豐原區,臺中市豐原區社皮路二九三巷一○二號,,,,219696.1628,2681629.72,120.701594,24.23995,1,0,0,0,0,,,,,,0,,
B8608135,東隆印刷有限公司,86325175,臺中市,豐原區,臺中市豐原區北陽路三三九巷一二號,,,,223417.6033,2682994.134,120.738214,24.252337,1,0,0,0,0,,,,,,0,,
B8608162,合船企業有限公司,,臺中市,豐原區,臺中市豐原區國豐路二段六○五巷五五號,,,,223263.0041,2685494.212,120.736645,24.274908,1,0,0,0,0,,,,,,0,,
B8608233,中部汽車股份有限公司(豐原據點),22819125,臺中市,豐原區,臺中市豐原區豐勢路二段一○三號,,,,223410.9658,2684055.926,120.738129,24.261924,1,0,0,0,0,,,,,,0,,
B8608582,慶豐企業社,,臺中市,豐原區,臺中市豐原區東陽路五五巷六號,,,,223249.0453,2681221.204,120.736587,24.236326,1,0,0,0,0,,,,,,0,,
B8609365,創裕油品有限公司,83601649,臺中市,豐原區,臺中市豐原區朴子里國豐路三段五○五號,非屬工業區類,4821,加油及加氣站,224375.0646,2684907.05,120.747609,24.269625,1,0,0,0,0,,,,,,482,,
B8609883,登楷實業股份有限公司豐原廠,,臺中市,豐原區,臺中市豐原區大豐路五段二三○巷一○ 號,,,,219306.2664,2681989.728,120.697747,24.243193,1,0,0,0,0,,,,,,0,,
B8609990,大欣實業有限公司,50826317,臺中市,豐原區,臺中市豐原區南田里豐原大道五段二一六巷八六之一號,,2422,鋁鑄造業,223475.2009,2683548.34,120.738771,24.257342,1,0,1,0,0,,,,,,242,,
B8610055,吉盈實業股份有限公司工廠,,臺中市,豐原區,臺中市豐原區水源路四七三巷二五號一樓,,,,222795.1066,2683186.806,120.73208,24.254066,1,0,0,0,0,,,,,,0,,
B8610180,巧晟企業有限公司,,臺中市,豐原區,臺中市豐原區國豐路二段五一九巷五號,非屬工業區類,2209,其他塑膠製品製造業,222827.6179,2685523.505,120.732356,24.275165,1,0,0,0,0,,,,,,220,,
B8610199,証平塑膠廠股份有限公司,5753886,臺中市,豐原區,臺中市豐原區豐勢路二段一八四巷一三號,,,,223794.4399,2684096.633,120.741905,24.262298,1,0,0,0,0,,,,,,0,,
B8610251,成佶實業股份有限公司二廠,,臺中市,豐原區,臺中市豐原區朴子街五○八號,,,,222840.9034,2684987.106,120.732497,24.270322,1,0,0,0,0,,,,,,0,,
B8610279,凱茂企業廠,,臺中市,豐原區,臺中市豐原區三和路六二○號,,,,219645.6043,2680024.034,120.70113,24.225451,1,0,0,0,0,,,,,,0,,
B8610297,元特股份有限公司,22082223,臺中市,豐原區,臺中市豐原區南嵩里北陽路三三九巷一三號,,,,223400.9825,2683011.332,120.73805,24.252492,1,0,0,0,0,,,,,,0,,
B8610724,相億鋁業有限公司,,臺中市,豐原區,臺中市豐原區豐南街九二巷二八六號,,,,220857.8236,2680835.296,120.713049,24.232799,1,0,0,0,0,,,,,,0,,
B8610733,杉源興業社,25420079,臺中市,豐原區,臺中市豐原區三村里三和路三五四巷一八二弄六號,,,,219591.1857,2680885.912,120.700576,24.233232,1,0,0,0,0,,,,,,0,,
B8611212,建盟塑膠工業股份有限公司,23171645,臺中市,豐原區,臺中市豐原區朴子里國豐路二段六五一號一樓,,,,223223.9682,2685306.782,120.736264,24.273215,1,0,0,0,0,,,,,,0,,
B8611481,劉添桂泡綿廠股份有限公司,22377731,臺中市,豐原區,臺中市豐原區北陽里南陽路五八巷二五一號,,2209,其他塑膠製品製造業,223049.7874,2682179.806,120.734607,24.244978,1,0,0,0,0,,,,,,220,66000,S6-601642
B8611785,永旺紙器彩色印刷有限公司,86070996,臺中市,豐原區,臺中市豐原區東陽里東陽路太坑巷一六號,,,,225175.3434,2680632.82,120.755565,24.231045,1,0,0,0,0,,,,,,0,,
B8611865,如意食務有限公司一廠,,臺中市,豐原區,臺中市豐原區朴子街五六五巷六七號,,,,222994.9886,2684915.043,120.734016,24.269674,1,0,0,0,0,,,,,,0,,
B8611874,嵐菁印刷科技有限公司,,臺中市,豐原區,臺中市豐原區鎌村路一○七巷一○一弄一三號,,,,222312.6583,2680836.699,120.727374,24.232838,1,0,0,0,0,,,,,,0,,
B8611918,順道食品有限公司,,臺中市,豐原區,臺中市豐原區永康路一八一巷三五號,,,,222267.5884,2681730.444,120.726913,24.240907,1,0,0,0,0,,,,,,0,,
B8612102,雅速達股份有限公司,,臺中市,豐原區,臺中市豐原區三豐路二段五四九巷三三二號,,,,221125.7176,2685458.209,120.715594,24.274545,1,0,0,0,0,,,,,,0,,
B8612157,佰億包裝股份有限公司,50818436,臺中市,豐原區,臺中市豐原區南嵩里北陽路三六五之三號,非屬工業區類,1591,家庭及衛生用紙製造業,223457.6475,2683067.598,120.738607,24.253001,1,0,0,0,0,,,,,,159,,
B8612175,葳宸精密工業有限公司,24254159,臺中市,豐原區,臺中市豐原區豐南街二四○巷二二八號,,,,221289.4347,2680978.504,120.717296,24.2341,1,0,0,0,0,,,,,,0,,
B8612184,億峰電機業社,,臺中市,豐原區,臺中市豐原區豐南街二四○巷二二二號,,,,221289.4347,2680978.504,120.717296,24.2341,1,0,0,0,0,,,,,,0,,
B8612193,玖松鞋業有限公司,86577713,臺中市,豐原區,臺中市豐原區豐原大道三段二八六巷一三六弄六一號,,,,222602.8493,2681223.878,120.730224,24.236339,1,0,0,0,0,,,,,,0,,
B8612200,誼霖興業股份有限公司二廠,28338258,臺中市,豐原區,臺中市豐原區角潭路二段二一九號,,,,223219.0758,2685564.844,120.736211,24.275545,1,0,0,0,0,,,,,,0,,
B8612380,昭力實業股份有限公司,,臺中市,豐原區,臺中市豐原區鎌村路二一三巷二五號,,,,222214.0503,2680580.502,120.726408,24.230523,1,0,0,0,0,,,,,,0,,
B8612595,鋒揚實業股份有限公司豐原廠,25061643,臺中市,豐原區,臺中市豐原區朴子里國豐路三段一○○巷九九號,非屬工業區類,2201,塑膠皮、板及管材製造業,223556.8824,2685039.465,120.739548,24.270807,1,0,0,0,0,,,,,,220,,
B8612782,蒝鈦峰工業有限公司三廠,23206356,臺中市,豐原區,臺中市豐原區三村里三和路三五四巷八七號,非屬工業區類,1404,木質容器製造業,219746.9026,2680755.888,120.702112,24.232061,1,0,1,0,0,,,,,,140,66000,
B8612871,昇葳鞋業有限公司,16577789,臺中市,豐原區,臺中市豐原區南陽路一二三巷三○號,,,,222602.2068,2681837.112,120.730206,24.241876,1,0,0,0,0,,,,,,0,66000,
B8612880,岱盟塑膠股份有限公司,89988325,臺中市,豐原區,臺中市豐原區萬順二街二三號,,,,225625.517,2685800.383,120.75991,24.277711,1,0,0,0,0,,,,,,0,,
B8612899,峻灃塑膠股份有限公司,23266712,臺中市,豐原區,臺中市豐原區萬順二街九五號,,,,225728.0952,2685823.686,120.76092,24.277923,1,0,0,0,0,,,,,,0,,
B8612906,德建塑膠股份有限公司,23373190,臺中市,豐原區,臺中市豐原區豐東路二二○巷二一弄一○號,,,,222831.2862,2682673.401,120.732446,24.249431,1,0,0,0,0,,,,,,0,,
B8612988,正康實業有限公司,89858955,臺中市,豐原區,臺中市豐原區豐年路一○九巷一○三之一號,,,,223181.0972,2684221.048,120.735862,24.263411,1,0,0,0,0,,,,,,0,66000,
B8612997,佳鋒企業有限公司,22477680,臺中市,豐原區,臺中市豐原區豐原大道三段二八六巷五八弄八○之八號,,,,222316.9528,2681267.626,120.727408,24.236729,1,0,0,0,0,,,,,,0,66000,
B8613001,宏穎企業社,81999806,臺中市,豐原區,臺中市豐原區鎌村路三二六巷三六之五號,,,,221774.3329,2680345.802,120.722083,24.228396,1,0,0,0,0,,,,,,0,66000,
B8613010,芳暉實業有限公司,22113056,臺中市,豐原區,臺中市豐原區圓環北路二段三一七巷一號,,,,222370.7962,2683776.497,120.72789,24.259383,1,0,0,0,0,,,,,,0,66000,
B8613029,吉辰峰企業有限公司,16060138,臺中市,豐原區,臺中市豐原區角潭路二段一○三巷二五號,,,,222478.4065,2684915.263,120.728928,24.269667,1,0,0,0,0,,,,,,0,66000,
B8613065,騰發塑膠有限公司,53389206,臺中市,豐原區,臺中市豐原區豐年路一四九巷七七號,,,,223382.0313,2684597.559,120.737834,24.266814,1,0,0,0,0,,,,,,0,66000,
B8613118,高品達企業有限公司三豐廠,27624351,臺中市,豐原區,臺中市豐原區三豐路二段二七二巷一五一弄一二號,,,,222153.8154,2685069.622,120.725728,24.271055,1,0,0,0,0,,,,,,0,66000,
B8613136,玄武工業股份有限公司,86973988,臺中市,豐原區,臺中市豐原區豐北街三四八之八號,非屬工業區類,1841,塑膠原料製造業,220919.9368,2683783.832,120.713601,24.259423,1,0,0,0,0,,,,,,184,66000,
B8613216,瑞星模具企業有限公司,27774082,臺中市,豐原區,臺中市豐原區國豐路一段五三三號,,,,220995.8457,2685844.447,120.714307,24.27803,1,0,0,0,0,,,,,,0,66000,
B8613252,大佶製模有限公司三廠,80621760,臺中市,豐原區,臺中市豐原區三和路三五四巷九七弄四六號,,,,219269.5948,2680485.351,120.697418,24.229609,1,0,0,0,0,,,,,,0,66000,P6602916
B8613878,金世興門窗行,26994377,臺中市,豐原區,臺中市豐原區豐勢路二段八一九巷一二號,,,,224881.2504,2685227.656,120.752589,24.272528,1,0,0,0,0,,,,,,0,66000,
B8614035,日盛塑膠有限公司,,臺中市,豐原區,臺中市豐原區三豐路二段三九六巷二二弄三五六號,,,,222351.3901,2685485.442,120.727666,24.274813,1,0,0,0,0,,,,,,0,66000,S6601619
